Station_id,month,year,avg_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC)
CRMS0978-H01,7,2008,30.8474328,1.344406584,27.58,34.22
CRMS0336-H01,6,2009,30.84683335,2.406259168,25.19,36.81
CRMS0318-H01,6,2009,30.83419449,3.319714166,23.22,39.19
CRMS0337-H01,8,2021,30.83318725,1.143081013,28.17,34.47
CRMS0310-H01,6,2009,30.82854163,2.743290743,24.8,37.22
CRMS0335-H01,8,2010,30.82098117,2.130279973,25.87,36.62
CRMS0978-H01,8,2014,30.82055109,1.862551083,26.65,35.33
CRMS0175-H01,8,2021,30.82029573,2.074093858,25.61,37.08
CRMS0178-H01,7,2016,30.81739244,1.07697616,27.8,33.38
CRMS0319-H01,7,2017,30.81161287,1.277733558,27.42,34.18
CRMS0336-H01,6,2011,30.80418057,1.41596705,28.04,35.11
CRMS0164-H01,8,2006,30.79088705,1.750020648,27.38,35.55
CRMS0175-H01,7,2006,30.78508746,2.321117326,25.13,37.74
CRMS0336-H01,7,2011,30.78124492,1.676092302,26.78,34.97
CRMS0336-H01,8,2020,30.77202954,1.751011918,26.56,34.71
CRMS0292-H01,8,2021,30.76876012,2.129706894,27.28,36.59
CRMS0335-H01,6,2011,30.76255554,1.582060232,27.77,35.32
CRMS0175-H01,8,2015,30.76244627,1.941753138,26.72,36.07
CRMS0337-H01,8,2007,30.76134882,1.475815448,27.55,36.13
CRMS0292-H01,8,2009,30.75873652,2.334153671,25.37,38.96
CRMS0978-H01,8,2020,30.75767476,1.820717079,26.52,35.19
CRMS0337-H01,7,2017,30.7574328,1.343669679,27.51,34.52
CRMS0319-H01,7,2008,30.75614159,1.364968132,27.62,34.17
CRMS0978-H01,6,2011,30.75531939,1.453913869,27.49,34.49
CRMS0310-H01,8,2010,30.74735216,2.199471608,25.81,37.98
CRMS0335-H01,8,2021,30.72536487,1.920926707,25.43,35.16
CRMS0318-H01,8,2020,30.72443547,2.107592726,26.56,37.27
CRMS0310-H01,6,2011,30.72044448,1.580064421,27.14,34.87
CRMS0164-H01,7,2016,30.71512098,1.612141766,26.5,34.93
CRMS0292-H01,8,2013,30.71013441,2.782822566,25.3,39.4
CRMS0292-H01,6,2008,30.70898613,2.476287089,26.47,39.29
CRMS0337-H01,8,2010,30.70413979,2.088344188,25.65,38.2
CRMS0336-H01,7,2009,30.70270155,1.684599046,27.17,35.58
CRMS0978-H01,7,2012,30.70147849,1.790415327,25.72,34.76
CRMS0978-H01,7,2009,30.68422041,1.642109707,27.41,35.44
CRMS0292-H01,8,2020,30.68361562,2.151322746,26.99,37.74
CRMS0319-H01,8,2010,30.68342738,1.981650043,25.77,34.67
CRMS0978-H01,8,2009,30.68090055,1.559990479,26.84,35.42
CRMS0318-H01,7,2009,30.68026884,2.534570471,25.89,39.03
CRMS0310-H01,6,2019,30.67926385,1.711631999,26.14,35.44
CRMS0292-H01,6,2019,30.67380946,2.088425428,26.05,37.09
CRMS0319-H01,8,2015,30.67373512,1.431058355,27.24,34.6
CRMS0318-H01,7,2010,30.66885751,2.285002826,26.35,37.34
CRMS0319-H01,7,2022,30.66674731,1.246815345,27.56,34.08
CRMS0335-H01,8,2020,30.66537634,1.821382967,26.78,35.75
CRMS0336-H01,6,2013,30.65798614,1.535275177,27.09,34.66
CRMS0335-H01,7,2010,30.65440863,1.867075033,27.17,36.17
CRMS0310-H01,7,2010,30.65377686,1.876559153,26.88,35.72
CRMS0310-H01,6,2013,30.65252783,1.878862052,26.61,35.45
CRMS0175-H01,7,2010,30.65055113,1.960500475,26.96,36.26
CRMS0310-H01,8,2020,30.64907257,1.85222293,26.51,36.54
CRMS0292-H01,7,2007,30.64718707,2.587005538,24.37,38.42
CRMS0336-H01,7,2010,30.64716396,1.856955852,26.76,35.53
CRMS0978-H01,7,2018,30.64594089,1.400182327,27.55,34.55
CRMS0978-H01,7,2010,30.64060483,1.773671307,26.9,35.41
CRMS0336-H01,7,2006,30.63669355,1.800512551,25.75,34.94
CRMS0318-H01,7,2011,30.636492,2.336676792,25.24,38.84
CRMS0336-H01,8,2019,30.63331991,1.24721511,27.39,33.64
CRMS0178-H01,6,2010,30.63036113,1.836668885,26.46,35.42
CRMS0292-H01,8,2018,30.62794355,1.890676158,27.25,37.4
CRMS0310-H01,7,2009,30.61645166,1.945063449,27.08,37.69
CRMS0978-H01,6,2009,30.61472227,2.419590086,24.56,34.95
CRMS0978-H01,7,2011,30.61150538,1.686890033,26.22,34.36
CRMS0336-H01,8,2009,30.60844084,1.74506989,26.52,36.37
CRMS0175-H01,7,2011,30.60254032,1.923102309,25.95,35.9
CRMS0164-H01,7,2017,30.60100802,1.816349014,26.67,35.55
CRMS0310-H01,8,2014,30.60021509,2.018637394,26.66,36.43
CRMS0292-H01,9,2023,30.59648613,2.19748249,25.68,37.34
CRMS0310-H01,8,2019,30.5932527,1.631911019,27.06,35.65
CRMS0178-H01,6,2022,30.58849995,1.455174161,27.45,34.48
CRMS0335-H01,8,2015,30.5873217,1.592176512,27.27,35.98
CRMS0978-H01,8,2019,30.58372311,1.428737101,27.24,34.62
CRMS0292-H01,8,2019,30.58284945,2.096241693,26.31,38.24
CRMS0336-H01,8,2014,30.58154575,1.822864224,26.55,35.1
CRMS0175-H01,6,2011,30.57675003,1.609575863,27,34.77
CRMS0318-H01,7,2012,30.57525535,2.258148246,24.73,37.3
CRMS0310-H01,7,2018,30.57298391,1.562969804,27.26,35.42
CRMS0175-H01,8,2019,30.56881722,1.6303116,27.1,35.78
CRMS0318-H01,6,2019,30.56863891,2.021295761,25.09,36.46
CRMS0336-H01,7,2012,30.56434141,1.753766589,25.84,34.92
CRMS0318-H01,8,2009,30.55746441,2.549614668,24.28,38.66
CRMS0978-H01,6,2013,30.55001388,1.537720572,26.95,34.62
CRMS0337-H01,8,2015,30.54761775,1.479882629,27.44,34.93
CRMS0978-H01,6,2006,30.54604172,1.67202111,26.75,34.8
CRMS0337-H01,7,2008,30.54138439,1.405992449,26.68,35.79
CRMS0318-H01,8,2019,30.53795701,1.906390529,26.51,37.14
CRMS0337-H01,8,2020,30.53764781,1.682476597,26.64,35.5
CRMS0310-H01,7,2011,30.53225803,1.711098391,26.18,35.57
CRMS0310-H01,6,2007,30.52962502,1.717964864,26.85,36.92
CRMS0175-H01,8,2009,30.52678765,1.831283056,26.2,36.36
CRMS0310-H01,8,2009,30.52599465,1.898716918,26.51,36.48
CRMS0319-H01,8,2014,30.52396503,1.655791319,26.76,35.02
CRMS0164-H01,8,2010,30.51998631,2.244847293,24.94,36.75
CRMS0178-H01,8,2010,30.51961022,1.827017811,26.03,35.12
CRMS0292-H01,6,2018,30.51755553,2.647691241,25.23,38.19
CRMS0336-H01,7,2018,30.5174059,1.309875373,27.68,34.39
CRMS0292-H01,8,2017,30.51737551,2.290323743,26.18,39.09
CRMS0337-H01,7,2010,30.51698926,1.687749289,27.23,35.22
CRMS0335-H01,6,2013,30.51490282,1.552567646,27.28,36.13
CRMS0318-H01,8,2014,30.5144414,2.54329728,26.23,37.66
CRMS0175-H01,7,2012,30.50905913,1.995836926,25.61,36.12
CRMS0319-H01,7,2010,30.50669356,1.641779977,27.15,34.6
CRMS0336-H01,6,2023,30.50512502,1.609619304,27.46,35.86
CRMS0310-H01,6,2018,30.50419439,1.954817402,25.81,35.84
CRMS0319-H01,6,2011,30.49804166,1.206423552,28,33.62
CRMS0335-H01,8,2014,30.49274192,1.911107156,26.7,35.46
CRMS0318-H01,6,2013,30.48877863,2.344055401,26.41,36.68
CRMS0175-H01,6,2019,30.48799997,1.784537872,27.17,35.8
CRMS0335-H01,7,2012,30.48540321,1.844186064,25.32,36.25
CRMS0978-H01,6,2018,30.48466665,1.780264511,25.97,35
CRMS0164-H01,7,2022,30.48423719,1.164943625,28.99,32.68
CRMS0319-H01,6,2022,30.47888885,1.574751881,27.1,34.15
CRMS0336-H01,6,2015,30.47552778,1.398459936,27.11,33.89
CRMS0336-H01,6,2019,30.47199998,1.505467191,26.63,34.5
CRMS0292-H01,7,2018,30.46877685,2.204277122,25.8,36.85
CRMS0319-H01,8,2019,30.46501339,1.216087907,27.36,33.82
CRMS0175-H01,7,2018,30.46490588,1.905350363,26.08,36.03
CRMS0164-H01,6,2010,30.46151384,1.933898887,25.8,35.38
CRMS0978-H01,8,2018,30.45934136,1.285593622,27.8,33.98
CRMS0310-H01,6,2023,30.45741666,1.801518777,27.01,36.52
CRMS0337-H01,8,2011,30.45677418,1.468043303,27.03,35.55
CRMS0319-H01,6,2009,30.44148613,2.263791381,25.1,34.91
CRMS0175-H01,8,2014,30.43865379,1.86953135,27.61,36
CRMS0310-H01,8,2018,30.42971768,1.419693068,27.35,34.56
CRMS0319-H01,8,2009,30.42806447,1.366390321,27.5,34.95
CRMS0175-H01,8,2018,30.42274197,1.56109439,27.49,35.19
CRMS0978-H01,7,2006,30.41950264,1.92448549,25.46,35.8
CRMS0175-H01,6,2013,30.415146,1.874715208,26.48,35.75
CRMS0319-H01,7,2009,30.41229839,1.466152324,27.33,34.89
CRMS0319-H01,7,2012,30.41118279,1.682271718,26.3,34.56
CRMS0175-H01,6,2016,30.40814158,1.74928204,26.63,35.5
CRMS0978-H01,6,2019,30.40411112,1.485256454,26.81,34.53
CRMS0318-H01,6,2023,30.40333336,2.166814517,26.21,38.59
CRMS0337-H01,6,2011,30.40145834,1.528618838,26.23,34.32
CRMS0335-H01,8,2019,30.39811826,1.546684261,27.1,35.07
CRMS0337-H01,7,2009,30.38369626,1.631198897,26.94,35.73
CRMS0164-H01,6,2006,30.37986908,1.811772866,26.04,34.67
CRMS0978-H01,6,2023,30.37931945,1.713525076,27.24,36.31
CRMS0337-H01,8,2014,30.37412636,1.720889797,26.62,35.47
CRMS0335-H01,6,2015,30.368125,1.589636684,27.24,34.53
CRMS0978-H01,9,2023,30.3662639,1.587778033,26,33.95
CRMS0175-H01,7,2009,30.36366781,1.759447613,27.5,35.54
CRMS0292-H01,6,2023,30.35762495,2.571289919,25.3,39.66
CRMS0337-H01,8,2019,30.35748659,1.242653931,27.44,33.56
CRMS0337-H01,8,2009,30.35395162,1.475510758,26.36,35.53
CRMS0310-H01,8,2017,30.34599462,1.923568862,26.6,35.6
CRMS0164-H01,6,2022,30.33890278,1.797930493,27,35.35
CRMS0319-H01,6,2019,30.33152775,1.374388801,26.9,33.92
CRMS0310-H01,6,2015,30.3292083,1.70789015,27.08,35.01
CRMS0175-H01,6,2018,30.32898611,2.119599354,25.26,36.26
CRMS0319-H01,7,2018,30.32885751,1.224009962,27.63,34.01
CRMS0292-H01,6,2015,30.32623608,2.30119853,22.08,36.47
CRMS0178-H01,8,2015,30.32150538,1.429739333,26.39,34.37
CRMS0978-H01,6,2015,30.32080559,1.424765077,27.15,33.81
CRMS0310-H01,9,2023,30.31938892,1.689592387,26.06,34.91
CRMS0337-H01,7,2011,30.31529572,1.707676143,26.04,35.25
CRMS0336-H01,8,2018,30.31342743,1.25788013,27.52,33.67
CRMS0175-H01,6,2015,30.31058336,1.823331626,26.38,35.76
CRMS0336-H01,6,2008,30.30524108,1.355883921,27.29,34.2
CRMS0319-H01,7,2011,30.30204299,1.463140923,26.77,33.65
CRMS0318-H01,9,2023,30.29781943,1.97999614,25.75,36.32
CRMS0336-H01,6,2018,30.29758334,1.594481957,26.52,34.07
CRMS0978-H01,7,2007,30.29572581,1.746502719,25.88,34.68
CRMS0337-H01,6,2009,30.29366663,2.378942627,24.84,36
CRMS0164-H01,7,2008,30.28567207,1.663907551,26.59,34.69
CRMS0337-H01,6,2006,30.28463886,1.836218035,23.65,37.86
CRMS0335-H01,7,2018,30.28412638,1.434277212,26.99,34.43
CRMS0978-H01,7,2014,30.28402419,1.723331192,26.65,34.24
CRMS0178-H01,7,2017,30.28373651,1.01886328,27.66,33.11
CRMS0319-H01,6,2013,30.27995833,1.357423545,27.36,33.53
CRMS0178-H01,8,2020,30.27568545,1.439040219,27.14,33.17
CRMS0978-H01,7,2021,30.27290326,1.592892966,26.69,34.58
CRMS0335-H01,6,2023,30.26993051,1.770737401,26.63,37.07
CRMS0310-H01,8,2013,30.26466399,2.016457179,25.84,35.97
CRMS0175-H01,7,2021,30.2614113,2.025972513,26.78,35.99
CRMS0178-H01,7,2008,30.25490591,1.083796863,27.81,33.41
CRMS0337-H01,6,2023,30.25461748,1.496267333,27.21,35.12
CRMS0292-H01,8,2012,30.25432794,2.876676733,24.54,38.96
CRMS0337-H01,7,2018,30.25384928,1.322963971,27.28,34.95
CRMS0336-H01,9,2023,30.25266666,1.410747984,26.43,34.01
CRMS0336-H01,7,2014,30.25095432,1.515485918,26.57,34.63
CRMS0337-H01,6,2013,30.2490098,1.500889403,26.35,37.65
CRMS0164-H01,7,2006,30.24755382,2.176325616,25.23,35.47
CRMS0319-H01,6,2023,30.24698609,1.542276963,27.23,35.75
CRMS0337-H01,7,2012,30.24228494,1.545299476,26,34.15
CRMS0178-H01,8,2019,30.24185485,0.990766321,27.42,32.85
CRMS0292-H01,9,2016,30.23997221,2.018142973,21.83,36.02
CRMS0336-H01,7,2021,30.23629033,1.507481435,26.94,33.96
CRMS0292-H01,8,2016,30.23537634,2.186981079,25.12,35.81
CRMS0319-H01,8,2018,30.2317608,1.16398734,27.52,33.34
CRMS0318-H01,8,2013,30.22693546,2.391361356,25.31,37.79
CRMS0164-H01,8,2015,30.22651881,1.781913199,25.77,34.68
CRMS0978-H01,8,2017,30.22187079,1.878234435,26.37,34.55
CRMS0978-H01,8,2013,30.21844088,1.858202556,25.75,34.83
CRMS0318-H01,8,2018,30.21693546,1.656860105,26.99,35.46
CRMS0337-H01,6,2019,30.21476391,1.332627171,26.87,33.54
CRMS0175-H01,7,2007,30.21041665,2.032743268,25.89,36.11
CRMS0318-H01,6,2015,30.20981841,2.214490045,24.94,36.93
CRMS0336-H01,8,2017,30.20655915,1.692682314,26.37,34.21
CRMS0178-H01,6,2011,30.20322223,1.138930377,27.88,34.88
CRMS0178-H01,7,2011,30.20189516,1.481821905,26.48,33.55
CRMS0335-H01,8,2018,30.20147847,1.383515481,27.58,35.14
CRMS0337-H01,7,2006,30.20009408,1.878920519,25.2,38.23
CRMS0318-H01,8,2017,30.19809141,2.09893998,26.24,37.32
CRMS0336-H01,8,2013,30.1960618,1.883918939,25.86,34.46
CRMS0164-H01,7,2011,30.19501345,1.973402123,25.87,34.88
CRMS0336-H01,6,2016,30.19454166,1.381095098,26.99,34.1
CRMS0310-H01,7,2021,30.1943817,1.69898486,25.99,35.28
CRMS0178-H01,8,2018,30.18809138,1.023307048,27.74,33.05
CRMS0164-H01,8,2019,30.18462501,1.455410677,26.75,33.78
CRMS0175-H01,8,2017,30.18372311,1.961169053,25.69,36.22
CRMS0164-H01,8,2020,30.18262097,1.712527197,26.86,34.6
CRMS0310-H01,7,2014,30.18256722,1.950105659,26.55,35.52
CRMS0178-H01,8,2014,30.18143821,1.307027883,27.22,34.24
CRMS0318-H01,7,2018,30.17143814,1.895842687,26.36,36.85
CRMS0335-H01,7,2014,30.1711559,1.656922668,26.69,34.97
CRMS0164-H01,8,2014,30.17008063,1.854664402,26.4,35.2
