common_name,2005,2016,2022,AphiaID,valid_name,doerr_name,species_code,2005_name,true_name,taxonomic_rank
,,,,159225,Menidia,Menidia sp.,MENSP,,Menidia,Genus
stone crab,TRUE,FALSE,FALSE,422070,Menippe mercenaria,Menippe mercenaria/adinia,,Menippe mercenaria/adinia,Menippe mercenaria,Species
clown goby,TRUE,FALSE,FALSE,158804,Microgobius gulosus,,,Microgobius gulosus,Microgobius gulosus,Species
green goby,TRUE,FALSE,FALSE,158805,Microgobius thalassinus,,,Microgobius thalassinus,Microgobius thalassinus,Species
scuptured mud crab,TRUE,FALSE,FALSE,422137,Micropanope sculptipes,,,Micropanope sculptipes,Micropanope sculptipes,Species
atlantic croaker,TRUE,TRUE,TRUE,151158,Micropogonias undulatus,M. undulatus,MICUND,Micropogonias undulatus,Micropogonias undulatus,Species
longwave gulf fiddler,TRUE,FALSE,FALSE,955264,Minuca longisignalis,,,,Minuca longisignalis,Species
atlantic marsh fiddler,TRUE,TRUE,TRUE,955270,Minuca pugnax,,,,Minuca pugnax,Species
mudflat fiddler,TRUE,TRUE,TRUE,955271,Minuca rapax,,,,Minuca rapax,Species
flathead gray mullet,TRUE,TRUE,TRUE,126983,Mugil cephalus,M. cephalus,MUGCEP,Mugil cephalus,Mugil cephalus,Species
white mullet,FALSE,TRUE,FALSE,159416,Mugil curema,M. curema,MUGCUR,,Mugil curema,Species
speckled worm-eel,TRUE,TRUE,TRUE,158643,Myrophis punctatus,M. punctatus,MYRPUN,Myrophis punctatus,Myrophis punctatus,Species
ridged spaghetti eel,TRUE,FALSE,FALSE,158580,Neoconger mucronatus,,,Neoconger mucronatus,Neoconger mucronatus,Species
False shark eye ,FALSE,FALSE,TRUE,419761,Neverita delessertiana,,,,Neverita delessertiana,Species
,,,,,,,,,,
,,,,106773,Ocypodidae,Ocypodidae (megalopa),OCYSPP,,Ocypodidae,Family
esturaine longeye shrimp,TRUE,FALSE,FALSE,158368,Ogyrides alphaerostris,,,Ogyrides alphaerostris,Ogyrides alphaerostris,Species
,,,,106998,Ogyrides,,,Ogyrides sp.,Ogyrides,Genus
shrimp eel,TRUE,FALSE,FALSE,271955,Ophichthus gomesii,,,Ophichthus gomesi,Ophichthus gomesii,Species
Opsanus beta,TRUE,TRUE,FALSE,275645,Opsanus beta,O. beta,OPSBET,Opsanus beta,Opsanus beta,Species
dark shorecrab,FALSE,FALSE,TRUE,241200,Pachygrapsus gracilis,,,,Pachygrapsus gracilis,Species
,,,,106738,Paguridae,,,Paguridae,Paguridae,Family
armed hermit crab,FALSE,TRUE,FALSE,366655,Pagurus armatus,P. armatus,PETARM,,Pagurus armatus,Species
long wristed hermit crab,TRUE,FALSE,TRUE,158403,Pagurus longicarpus,,,Pagurus longicarpus,Pagurus longicarpus,Species
intermediate grass shrimp,TRUE,TRUE,TRUE,514452,Palaemon intermedius,P. intermedius,PALINT,Palaemonetes intermedius,Palaemon intermedius,Species
daggerblade grass shrimp,TRUE,TRUE,TRUE,932401,Palaemon pugio,P. pugio,PALPUG,Palaemonetes pugio,Palaemon pugio,Species
marsh grass shrimp,TRUE,TRUE,TRUE,932406,Palaemon vulgaris,P. vulgaris,PALVUL,Palaemonetes vulgaris,Palaemon vulgaris,Species
,,,,107034,Palaemonetes,Palaemonetes    sp.,PALSP,Palaemonetes sp.,Palaemon,Genus
,,,,106765,Panopeidae,Panopeidae (crab),PANSPP,Panopeidae,Panopeidae,Family
atlantic mud crab,TRUE,TRUE,TRUE,158436,Panopeus herbstii,P. herbstii,PANHER,Panopeus herbstii,Panopeus herbstii,Species
salt marsh mud crab,FALSE,FALSE,TRUE,422085,Panopeus obesus,,,,Panopeus obesus,Species
oystershell mud crab,FALSE,FALSE,TRUE,422088,Panopeus simpsoni,,,,Panopeus simpsoni,Species
southern flouder,TRUE,TRUE,TRUE,158829,Paralichthys lethostigma,,,Paralichthys lethostigma,Paralichthys lethostigma,Species
,,,,106727,Penaeidae,Penaeidae,PENSPP,Penaeidae,Penaeidae,Family
white shrimp,TRUE,TRUE,TRUE,395176,Penaeus aztecus,,,,Penaeus (Farfantepenaeus) aztecus,Species
pink shrimp,TRUE,TRUE,FALSE,246391,Penaeus duorarum,,,,Penaeus (Farfantepenaeus) duorarum,Species
Green porcelain crab,FALSE,FALSE,TRUE,396707,Petrolisthes armatus,,,,Petrolisthes armatus,Species
bruissed nassa,FALSE,FALSE,TRUE,877061,Phrontis vibex,,,,Phrontis vibex,Species
,,,,454715,Pinnotheres maculatum,,,Pinnotheres maculatus,API request failed,Unknown
sailfin molly,FALSE,TRUE,TRUE,275348,Poecilia latipinna,P. latipinna,POELAT,,Poecilia latipinna,Species
black drum,FALSE,TRUE,TRUE,159333,Pogonias cromis,P. cromis,POGCRO,,Pogonias cromis,Species
,,,,106763,Portunidae,Portunidae (megalopae),PORSPP,Portunidae,Portunidae,Family
bighead searobin,TRUE,FALSE,FALSE,159577,Prionotus tribulus,,,Prionotus tribulus,Prionotus tribulus,Species
parasite,FALSE,FALSE,TRUE,157905,Probopyrus pandalicola,,,,Probopyrus pandalicola,Species
harris mud crab,TRUE,FALSE,FALSE,107414,Rhithropanopeus harrisii,,,Rhithropanopeus harrisii,Rhithropanopeus harrisii,Species
roughback shrimp,TRUE,FALSE,FALSE,377580,Rimapenaeus similis,,,Rimapenaeus similis,Rimapenaeus similis,Species
,,,,158339,Rimapenaeus,,,Rimapenaeus sp.,Rimapenaeus,Genus
,,,,125558,Sciaenidae,,,Sciaenidae,Sciaenidae,Family
red drum,TRUE,TRUE,TRUE,159335,Sciaenops ocellatus,,,Sciaenops ocellatus,Sciaenops ocellatus,Species
purple marsh crab,TRUE,TRUE,FALSE,158458,Sesarma reticulatum,S. reticulatum,SESRET,Sesarma reticulatum,Sesarma reticulatum,Species
,,,,158047,Sesarmidae,Sesarmidae,SESSPP,,Sesarmidae,Family
sea snail,FALSE,FALSE,TRUE,419981,Solenosteira cancellaria,,,,Solenosteira cancellaria,Species
,,,,125564,Sparidae,,,Sparidae,Sparidae,Family
least puffer,TRUE,FALSE,FALSE,275282,Sphoeroides parvus,,,Sphoeroides parvus,Sphoeroides parvus,Species
,,,,136113,Squilla,,,Squilla sp.,Squilla,Genus
star drum ,TRUE,TRUE,TRUE,159337,Stellifer lanceolatus,,,Stellifer lanceolatus,Stellifer lanceolatus,Species
blackcheek tonguefish,TRUE,TRUE,TRUE,159363,Symphurus plagiusa,S. plagiusa,SYMPLA,Symphurus plagiusa,Symphurus plagiusa,Species
chain pipefish,TRUE,TRUE,TRUE,159453,Syngnathus louisianae,,,Syngnathus louisianae,Syngnathus louisianae,Species
gulf pipefish,TRUE,TRUE,TRUE,275232,Syngnathus scovelli,S. scovelli,SYNSCO,Syngnathus scovelli,Syngnathus scovelli,Species
,,,,125612,Tetraodontidae,,,Tetraodontidae,Tetraodontidae,Family
hogchoker,FALSE,FALSE,TRUE,159271,Trinectes maculatus,,,,Trinectes maculatus,Species
,,,,955264,Minuca longisignalis,,,Uca longisignalis,Minuca longisignalis,Species
,,,,955270,Minuca pugnax,,,Uca pugnax,Minuca pugnax,Species
,,,,955271,Minuca rapax,,,Uca rapax,Minuca rapax,Species
,,,,955256,Minuca,Uca sp.,UCASP,Uca sp.,Minuca,Genus
,,,,unk,Unknown Fish ,Unid. Fish,UNKFSH,Unidentified fish (juvenile/adult),API request failed,Unknown
oyster drill ,FALSE,FALSE,TRUE,140429,Urosalpinx cinerea,,,,Urosalpinx cinerea,Species
,,,,none,No species collected,,,No species collected,,
