Unnamed: 0,common_name_x,scientific_name,2005,2016,2022,AphiaID,valid_name,doerr_name,nelson_name,full_name ,common_name_y,species_code,functional_group,2005_name,true_name,taxonomic_rank
68,gold brotula,Gunterichthys longipenis,TRUE,FALSE,FALSE,280948,Gunterichthys longipenis,,,Gunterichthys longipenis,,,,Gunterichthys longipenis,Gunterichthys longipenis,Species
69,,,,,,204605,Harengula,Harengula sp.,Harengula sp.,Harengula sp.,Herring,HARSP,fish,,Harengula,Genus
70,freckled blenny,Hypsoblennius ionthas,TRUE,FALSE,FALSE,276327,Hypsoblennius ionthas,,,Hypsoblennius ionthas,,,,Hypsoblennius ionthas,Hypsoblennius ionthas,Species
71,pinfish ,Lagodon rhomboides,TRUE,TRUE,TRUE,159249,Lagodon rhomboides,L. rhomboides,L. rhomboides,Lagodon rhomboides,pinfish ,LAGRHO,fish,Lagodon rhomboides,Lagodon rhomboides,Species
72,sargassum shrimp,Latreutes parvulus,TRUE,FALSE,FALSE,240877,Latreutes parvulus,,,Latreutes parvulus,,,,Latreutes parvulus,Latreutes parvulus,Species
73,brown grass shrimp,Leander tenuicornis,TRUE,TRUE,TRUE,107612,Leander tenuicornis,L. tenuicornis,L. tenuicornis,Leander tenuicornis,brown grass shrimp,LEATEN,shrimp,Leander tenuicornis,Leander tenuicornis,Species
74,spot,Leiostomus xanthurus,TRUE,TRUE,TRUE,159322,Leiostomus xanthurus,L. xanthurus,L. xanthurus,Leiostomus xanthurus,spot,LEIXAN,fish,Leiostomus xanthurus,Leiostomus xanthurus,Species
76,brown shrimp,Litopenaus setiferus ,TRUE,TRUE,TRUE,158336,Litopenaeus setiferus,L. setiferus,L. setiferus,Litopenaeus setiferus,white shrimp,PENSET,shrimp,Litopenaeus setiferus,Penaeus (Litopenaeus) setiferus,Species
77,marsh perriwinkle,Littoraria irrorata ,FALSE,FALSE,TRUE,419566,Littoraria irrorata,,,,,,,,Littoraria irrorata,Species
78,rainwater killifish,Lucania parva,TRUE,FALSE,FALSE,159310,Lucania parva,,,Lucania parva,,,,Lucania parva,Lucania parva,Species
79,,,,,,158346,Lucifer faxoni,,,Lucifer faxoni,,,,Lucifer faxoni,Belzebub faxoni,Species
80,gray snapper,Lutjanus griseus,TRUE,TRUE,TRUE,159797,Lutjanus griseus,L. griseus,L. griseus,Lutjanus griseus,mangrove snapper,LUTGRI,fish,Lutjanus griseus,Lutjanus griseus,Species
81,,,,,,,Macrobrachium ohione,,,Macrobrachium ohione,,,,Macrobrachium ohione,API request failed,Unknown
82,inland silverside,Menidia beryllina,TRUE,TRUE,TRUE,159227,Menidia beryllina,M. beryllina,M. beryllina,Menidia beryllina,inland silverside,MENBER,fish,Menidia beryllina,Menidia beryllina,Species
83,,,,,,159225,Menidia,Menidia sp.,Menidia sp.,Menidia sp.,silversides,MENSP,fish,,Menidia,Genus
84,stone crab,Menippe mercenaria,TRUE,FALSE,FALSE,422070,Menippe mercenaria,,,,,,,,Menippe mercenaria,Species
85,,,,,,,Menippe mercenaria/adinia,,,Menippe mercenaria/adinia,,,,Menippe mercenaria/adinia,API request failed,Unknown
86,clown goby,Microgobius gulosus,TRUE,FALSE,FALSE,158804,Microgobius gulosus,,,Microgobius gulosus,,,,Microgobius gulosus,Microgobius gulosus,Species
87,green goby,Microgobius thalassinus,TRUE,FALSE,FALSE,158805,Microgobius thalassinus,,,Microgobius thalassinus,,,,Microgobius thalassinus,Microgobius thalassinus,Species
88,scuptured mud crab,Micropanope sculptipes,TRUE,FALSE,FALSE,422137,Micropanope sculptipes,,,Micropanope sculptipes,,,,Micropanope sculptipes,Micropanope sculptipes,Species
89,atlantic croaker,Micropogonias undulatus,TRUE,TRUE,TRUE,151158,Micropogonias undulatus,M. undulatus,M. undulatus,Micropogonias undulatus,atlantic croaker,MICUND,fish,Micropogonias undulatus,Micropogonias undulatus,Species
90,longwave gulf fiddler,Minuca longisignalis,TRUE,FALSE,FALSE,955264,Minuca longisignalis,,,,,,,,Minuca longisignalis,Species
91,atlantic marsh fiddler,Minuca pugnax,TRUE,TRUE,TRUE,955270,Minuca pugnax,,,,,,,,Minuca pugnax,Species
92,mudflat fiddler,Minuca rapax,TRUE,TRUE,TRUE,955271,Minuca rapax,,,,,,,,Minuca rapax,Species
93,flathead gray mullet,Mugil cephalus,TRUE,TRUE,TRUE,126983,Mugil cephalus,M. cephalus,M. cephalus,Mugil cephalus,flathead gray mullet,MUGCEP,fish,Mugil cephalus,Mugil cephalus,Species
94,white mullet,Mugil curema,FALSE,TRUE,FALSE,159416,Mugil curema,M. curema,M. curema,Mugil curema,white mullet,MUGCUR,fish,,Mugil curema,Species
