"species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept"
"Littoraria irrorata",3.44273505334416,-3.71000003814697,10.2099998474121,13.9199998855591,39.69603704,117
"Lucania parva",3.15263155220371,-6.32500016689301,15.5125000476837,21.8375002145767,41.62874525,76
"Lutjanus griseus",13.5236641452968,-4.64250009059906,22.4474997997284,27.0899998903275,41.22206114,262
"Menidia beryllina",1.81015228763752,-5.41000008583069,12.3199997901916,17.7299998760223,41.4734094,197
"Micropogonias undulatus",3.36273291119322,-4.80000019073486,15.1999998092651,20,51.8,161
"Minuca spp.",6.51800002098083,4.52249997854233,10.0550002098083,5.53250023126602,30.47709324,50
"Mugil cephalus",6.44558441757962,-5.47750002145767,19.8999996185303,25.3774996399879,48.7472480999999,770
"Mugil curema",10.544502627163,-5.04999995231628,21.9999995231628,27.0499994754791,45.8012147,191
"Myrophis punctatus",7.14999997615814,1.40250001549721,13.0624996185303,11.6599996030331,35.51737064,28
"Negaprion brevirostris",11.5660714145218,3.23750001192093,22.8250000476837,19.5875000357628,33.35547465,56
"Neverita delessertiana",7.35192306683614,1.53749997615814,12.3900001049042,10.852500128746,33.88153192,52
"Opsanus beta",9.41971835955768,4.90000009536743,17.0999999046326,12.1999998092651,30.3855114,71
"Pachygrapsus gracilis",14.2380952608018,6.90000009536743,22.2999992370605,15.3999991416931,29.7683088,21
"Pagurus armatus",-0.558823539272827,-5.90750011205673,2.89749995470047,8.8050000667572,58.23627868,34
"Pagurus longicarpus",-2.76473686393154,-13.8099999666214,11.6924999475479,25.5024999141693,54.14962078,190
"Palaemon spp.",0.880769156492673,-11.8625001907349,15.7749997377396,27.6374999284744,46.3790005,26
"Panopeus spp.",9.49999994701809,5.27999982833862,14.4400001525879,9.16000032424927,30.97332608,9
"Paralichthys lethostigma",7.94999980926514,7.23749980926514,8.66249980926514,1.425,28.14031966,2
"Penaeus aztecus",4.86999999582767,-5.31000018119812,18.3974992752075,23.7074994564056,47.73838451,40
"Penaeus duorarum",12.6214285365173,4.19500012099743,20.6474999904633,16.4524998694658,32.47956819,28
"Penaeus setiferus",3.86093749082647,-4.64000006914139,10.4700000286102,15.1100000977516,40.66884207,64
"Petrolisthes armatus",9.34050637332699,1.38499997854233,19.9099996566772,18.5249996781349,34.7131189,79
"Phrontis vibex",7.46811595688695,-5.3600001335144,18.8500007629395,24.2100008964539,41.57821944,69
"Poecilia latipinna",7.0906504232709,1.11250002682209,16.525000333786,15.4125003069639,35.6428327,246
"Pogonias cromis",5.05529413096169,-4.77750010490417,15.55,20.3275001049042,40.75152942,170
"Probopyrus pandalicola",-0.0299999952316284,-5.59499995708466,5.12749992609024,10.7224998831749,41.21798927,10
"Rhithropanopeus harrisii",-3.11040724753255,-10.8500003814697,9.45000028610229,20.300000667572,60.5918486,221
"Sciaenops ocellatus",5.35958547708747,-3.20000004768372,12.9199998855591,16.1199999332428,38.90991344,193
"Sesarma reticulatum",2.35000001150986,-6.55749994516373,11.5,18.0574999451637,41.94875946,58
"Solenosteira cancellaria",7.39047618139358,5.04999995231628,12.7000002861023,7.65000033378601,30.379361,21
"Sporobolus alterniflorus",-3.04285712469192,-19.0500001907349,8.09999990463257,27.1500000953674,57.4590492,21
"Symphurus plagiusa",4.13225805951703,-4.54249995946884,16.9425001621246,21.4850001215935,40.64465666,62
"Syngnathus louisianae",8.38799993276596,1.0599999666214,16.4999996185303,15.4399996519089,36.16087192,25
"Syngnathus scovelli",8.73863633654334,4.52250001430512,15.5925003528595,11.0700003385544,30.84695973,44
"Trinectes maculatus",2.86016263128296,-7.01499991416931,15.1000003814697,22.115000295639,41.7624892,123
"Urosalpinx cinerea",-1.56153845271239,-11.4424997806549,8.02500010728836,19.4674998879433,52.94525962,104
