
Fundulus pulvereus: https://doi.org/10.15468/dl.e2yh7b

Avicennia germinans: https://doi.org/10.15468/dl.t85s24

Spartina alterniflora: https://doi.org/10.15468/dl.uqegs5

Fundulus similis: https://doi.org/10.15468/dl.7zmc72

Avicennia germinans: https://doi.org/10.15468/dl.42mk76

Spartina alterniflora: https://doi.org/10.15468/dl.jzepbt

Fundulus xenicus: https://doi.org/10.15468/dl.ekstf9

Avicennia germinans: https://doi.org/10.15468/dl.f378xh

Spartina alterniflora: https://doi.org/10.15468/dl.ez7c72

Gobionellus oceanicus: https://doi.org/10.15468/dl.9jvh5h

Avicennia germinans: https://doi.org/10.15468/dl.ngfvuy

Spartina alterniflora: https://doi.org/10.15468/dl.bwye2b

Gobiosoma bosc: https://doi.org/10.15468/dl.bw7p5s

Avicennia germinans: https://doi.org/10.15468/dl.be3jv6

Spartina alterniflora: https://doi.org/10.15468/dl.vxhhk9

Lagodon rhomboides: https://doi.org/10.15468/dl.ct6fge

Avicennia germinans: https://doi.org/10.15468/dl.rv9rj7

Spartina alterniflora: https://doi.org/10.15468/dl.286spe

Leiostomus xanthurus: https://doi.org/10.15468/dl.4rd34w

Avicennia germinans: https://doi.org/10.15468/dl.gvgsgg

Spartina alterniflora: https://doi.org/10.15468/dl.cx5rrv

Littoraria irrorata: https://doi.org/10.15468/dl.5xpr4j

Avicennia germinans: https://doi.org/10.15468/dl.zdncpc

Spartina alterniflora: https://doi.org/10.15468/dl.k2hgeq

Lucania parva: https://doi.org/10.15468/dl.4tt8gd

Avicennia germinans: https://doi.org/10.15468/dl.vptdcc

Spartina alterniflora: https://doi.org/10.15468/dl.jv8vwk

Lutjanus griseus: https://doi.org/10.15468/dl.ah5jky

Avicennia germinans: https://doi.org/10.15468/dl.78e6tz

Spartina alterniflora: https://doi.org/10.15468/dl.8fftxt

Menidia beryllina: https://doi.org/10.15468/dl.ekdjnw

Avicennia germinans: https://doi.org/10.15468/dl.zyp2fk

Spartina alterniflora: https://doi.org/10.15468/dl.pqun7q

Micropogonias undulatus: https://doi.org/10.15468/dl.3vf6pa

Avicennia germinans: https://doi.org/10.15468/dl.kumtwa

