common_name,AphiaID,valid_name,doerr_name,species_code,2005_name,true_name,taxonomic_rank
salt marsh mud crab,422085,Panopeus obesus,,PANOBE,Panopeus herbstii,Panopeus herbstii,Species
oystershell mud crab,422088,Panopeus simpsoni,,PANSIM,,Panopeus obesus,Species
southern flouder,158829,Paralichthys lethostigma,,PARLETJ,,Panopeus simpsoni,Species
,106727,Penaeidae,Penaeidae,PENSPP,Paralichthys lethostigma,Paralichthys lethostigma,Species
white shrimp,395176,Penaeus aztecus,,PENAZT,Penaeidae,Penaeidae,Family
pink shrimp,246391,Penaeus duorarum,,,,Penaeus (Farfantepenaeus) aztecus,Species
Green porcelain crab,396707,Petrolisthes armatus,,PETARM,,Penaeus (Farfantepenaeus) duorarum,Species
bruissed nassa,877061,Phrontis vibex,,PHRVIB,,Petrolisthes armatus,Species
,454715,Pinnotheres maculatum,,,,Phrontis vibex,Species
sailfin molly,275348,Poecilia latipinna,P. latipinna,POELAT,Pinnotheres maculatus,API request failed,Unknown
black drum,159333,Pogonias cromis,P. cromis,POGCRO,,Poecilia latipinna,Species
,106763,Portunidae,Portunidae (megalopae),PORSPP,,Pogonias cromis,Species
bighead searobin,159577,Prionotus tribulus,,,Portunidae,Portunidae,Family
parasite,157905,Probopyrus pandalicola,,PROPAN,Prionotus tribulus,Prionotus tribulus,Species
harris mud crab,107414,Rhithropanopeus harrisii,,,,Probopyrus pandalicola,Species
roughback shrimp,377580,Rimapenaeus similis,,,Rhithropanopeus harrisii,Rhithropanopeus harrisii,Species
,158339,Rimapenaeus,,,Rimapenaeus similis,Rimapenaeus similis,Species
,125558,Sciaenidae,,,Rimapenaeus sp.,Rimapenaeus,Genus
red drum,159335,Sciaenops ocellatus,,SCIOCE,Sciaenidae,Sciaenidae,Family
purple marsh crab,158458,Sesarma reticulatum,S. reticulatum,SESRET,Sciaenops ocellatus,Sciaenops ocellatus,Species
,158047,Sesarmidae,Sesarmidae,SESSPP,Sesarma reticulatum,Sesarma reticulatum,Species
sea snail,419981,Solenosteira cancellaria,,SOLCAN,,Sesarmidae,Family
,125564,Sparidae,,,,Solenosteira cancellaria,Species
least puffer,275282,Sphoeroides parvus,,,Sparidae,Sparidae,Family
,136113,Squilla,,,Sphoeroides parvus,Sphoeroides parvus,Species
star drum ,159337,Stellifer lanceolatus,,,Squilla sp.,Squilla,Genus
blackcheek tonguefish,159363,Symphurus plagiusa,S. plagiusa,SYMPLA,Stellifer lanceolatus,Stellifer lanceolatus,Species
chain pipefish,159453,Syngnathus louisianae,,,Symphurus plagiusa,Symphurus plagiusa,Species
gulf pipefish,275232,Syngnathus scovelli,S. scovelli,SYNSCO,Syngnathus louisianae,Syngnathus louisianae,Species
,125612,Tetraodontidae,,,Syngnathus scovelli,Syngnathus scovelli,Species
hogchoker,159271,Trinectes maculatus,,TRIMAC,Tetraodontidae,Tetraodontidae,Family
,unk,Unknown Fish ,Unid. Fish,UNKFSH,,Trinectes maculatus,Species
oyster drill ,140429,Urosalpinx cinerea,,UROCIN,Unidentified fish (juvenile/adult),API request failed,Unknown
,none,No species collected,,,,Urosalpinx cinerea,Species
Amphipod,1135,Amphipoda,,AMPSPP,No species collected,,
unknown arthropod,1065,arthropoda,,UNKART,,Amphipoda,Order
unknown crustacean,1066,crusacea,,UNKCRU,,Arthropoda,Phylum
unknown fish,293496,teleostei,,UNKFSH,,Crustacea,Subphylum
unknown polychete,883,polychaeta,,UNKPOL,,Teleostei,Class
atlantic crevalle jack,126803,Caranx hippos,,CARHIP,,Polychaeta,Class
lemon shark,105800,Negaprion brevirostris,,NEGBRE,,Caranx hippos,Species
freshwater goby,276490,Ctenogobius shufeldti,,CTESHU,,Negaprion brevirostris,Species
annelid,882,Annelid,,ANNELI,,Ctenogobius shufeldti,Species
Smallmouth flounder,158801,Etropus microstomus,,ETRMIC,,Annelida,Phylum
Tidewater Mojarra,276420,Eucinostomus harengulus,,EUCHAR,,Etropus microstomus,Species
atlantic brief squid,157028,Lolliguncula brevis,,LOLBRE,,Eucinostomus harengulus,Species
Inshore lizard fish,158758,Synodus foetens,,SYNFOE,,Lolliguncula brevis,Species
Silver Jenny,159733,Eucinostomus gula,,EUCGUL,,Synodus foetens,Species
Atlantic Spade Fish,159703,Chaetodipterus faber,,CHAFAB,,Eucinostomus gula,Species
Mantis Shrimp,158466,Squilla empusa,,SQUEMP,,Chaetodipterus faber,Species
Yellowfin Menhaden,158690,Brevoortia smithi,,BRESMI,,Squilla empusa,Species
Southern Kingfish,159326,Menticirrhus americanus,,MENAME,,Brevoortia smithi,Species
,,,,,,Menticirrhus americanus,Species
