"species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept"
"Pachygrapsus gracilis",14.2380952608018,6.90000009536743,22.2999992370605,15.3999991416931,29.7683088,21
"Pagurus armatus",-0.552941180765629,-5.90750011205673,2.98499995470046,8.89250006675719,58.23627868,34
"Pagurus longicarpus",-2.76631579191277,-13.8649999141693,11.6924999475479,25.5574998617172,54.14962078,190
"Palaemon spp.",0.892307611612173,-11.8625001907349,15.7749997377396,27.6374999284744,46.37555075,26
"Panopeus spp.",9.53333330154419,5.27999982833862,14.5000001907349,9.22000036239624,30.97333176,9
"Paralichthys lethostigma",7.94999980926514,7.23749980926514,8.66249980926514,1.425,28.14031966,2
"Penaeus aztecus",4.85500002205372,-5.31750018596649,18.3974992752075,23.714999461174,47.69869655,40
"Penaeus duorarum",12.6321427949837,4.19500012099743,20.6474999904633,16.4524998694658,32.47956819,28
"Penaeus setiferus",3.86874999827705,-4.64000006914139,10.4700000286102,15.1100000977516,40.66884207,64
"Petrolisthes armatus",9.33670891161206,1.19500004649162,19.9099996566772,18.7149996101856,34.69417558,79
"Phrontis vibex",7.48840578829033,-5.3600001335144,18.8500007629395,24.2100008964539,41.57821944,69
"Poecilia latipinna",7.09390245317444,1.11250002682209,16.5125002861023,15.4000002592802,35.6447819,246
"Pogonias cromis",5.06235294337658,-4.69999980926514,15.8199999570847,20.5199997663498,40.78444242,170
"Probopyrus pandalicola",-0.0299999952316284,-5.59499995708466,5.12749992609024,10.7224998831749,41.21798927,10
"Rhithropanopeus harrisii",-3.11538461791309,-10.8500003814697,9.45000028610229,20.300000667572,60.598348,221
"Sciaenops ocellatus",5.36113989306855,-3.20000004768372,12.9199998855591,16.1199999332428,38.89653848,193
"Sesarma reticulatum",2.37758621059615,-6.47250002622604,11.5,17.972500026226,41.96470986,58
"Solenosteira cancellaria",7.39047622680664,5.04999995231628,12.7000002861023,7.65000033378601,30.379361,21
"Sporobolus alterniflorus",-3.04285713604518,-19.0500001907349,8.09999990463257,27.1500000953674,57.4590492,21
"Symphurus plagiusa",4.13548390134688,-4.54249995946884,16.5225005626679,21.0650005221367,40.64465666,62
"Syngnathus louisianae",8.42399993658066,1.0599999666214,16.4999996185303,15.4399996519089,36.1539952,25
"Syngnathus scovelli",8.73863636905497,4.52250001430512,15.5925003528595,11.0700003385544,30.84695973,44
"Trinectes maculatus",2.84959351531858,-7.01499991416931,15.1000003814697,22.115000295639,41.7624892,123
"Urosalpinx cinerea",-1.59519228511132,-11.4424997806549,8.02500010728836,19.4674998879433,52.94567672,104
